1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_0.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_1.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_2.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_3.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_4.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_5.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_6.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_7.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_8.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_9.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_10.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_11.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_12.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_13.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_14.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_15.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_16.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_17.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_19.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_21.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_22.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_23.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_24.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_25.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_26.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_28.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_30.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_31.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_32.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_33.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_34.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_35.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_36.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_37.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_38.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_39.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_40.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_41.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_42.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_43.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_46.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_47.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_48.cf32,0
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_49.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_50.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_51.cf32,1
1645433807.48_raw_ulf406025000_dlf1544185000_gain65_inputsr1500000_outputsr37500_52.cf32,1
